Exame,Unidade,Referencia_Texto_Completo,Referencia_Paciente_Especifico,Sexo,Faixa_Etaria,Gestante,Data_Ultima_Atualizacao
Ferritina Sérica,ng/mL,"CRIANÇA (FEMININO E MASCULINO) DE 4 A 15 DIAS DE 99,6 A 717,0 DE 15 DIAS A 6 MESES DE 14,0 A 647,2 DE 6 MESES A 14 ANOS DE 5,3 A 181,9 ADULTO FEMININO : DE 20,0 A 300,0 MASCULINO: DE 30,0 A 600,0 NOTA Atenção para os novos valores de referência devido a mudança do kit. O kit atual apresenta concentrações de ferritina em média 83 mais altos do que o anterior. Pacientes em acompanhamento deverão ter seus valores realinhados Observações gerais:Atenção para alteração no valor de referência e nota partir de05/05/25","FEMININO E; 15 DIAS DE 99,6 A 717,0 DE 15 DIAS A 6 MESES DE 14,0 A 647,2 DE 6 MESES A 14 ANOS DE 5,3 A 181,9 ADULTO; FEMININO : DE 20,0 A 300,0",Feminino,Adulto,FALSE,30/06/2025
Creatinina Sérica,mg/dL,"HOMEM : DE 0,60 A 1,30 mg/dL MULHER : DE 0,50 A 1,10 mg/dL CRIANÇAS: IDADE SEXO MASCULINO SEXO FEMININO DE 0 A 14 DIAS DE 0,42 A 1,05 mg/dL DE 0,42 A 1,05 mg/dL DE 15 DIAS A 11 MESES DE 0,31 A 0,53 mg/dL DE 0,31 A 0,53 mg/dL DE 1 A 3 ANOS DE 0,39 A 0,55 mg/dL DE 0,39 A 0,55 mg/dL DE 4 A 6 ANOS DE 0,44 A 0,65 mg/dL DE 0,44 A 0,65 mg/dL DE 7 A 11 ANOS DE 0,52 A 0,69 mg/dL DE 0,52 A 0,69 mg/dL DE 12 A 14 ANOS DE 0,57 A 0,80 mg/dL DE 0,57 A 0,80 mg/dL DE 15 A 16 ANOS DE 0,65 A 1,04 mg/dL DE 0,59 A 0,86 mg/dL DE 17 A 18 ANOS DE 0,69 A 1,10 mg/dL DE 0,60 A 0,88 mg/dL RITMO DE FILTRAÇÃO GLOMERULAR Método : CÁLCULO PELA FÓRMULA CKD-EPI (2021)","MASCULINO SEXO; 14 DIAS DE 0,42 A 1,05 mg/dL DE 0,42 A 1,05 mg/dL DE 15 DIAS A 11 MESES DE 0,31 A 0,53 mg/dL DE 0,31 A 0,53 mg/dL; 3 ANOS DE 0,39 A 0,55 mg/dL DE 0,39 A 0,55 mg/dL; 6 ANOS DE 0,44 A 0,65 mg/dL DE 0,44 A 0,65 mg/dL; 11 ANOS DE 0,52 A 0,69 mg/dL DE 0,52 A 0,69 mg/dL; 14 ANOS DE 0,57 A 0,80 mg/dL DE 0,57 A 0,80 mg/dL; 16 ANOS DE 0,65 A 1,04 mg/dL DE 0,59 A 0,86 mg/dL; 18 ANOS DE 0,69 A 1,10 mg/dL DE 0,60 A 0,88 mg/dL RITMO DE FILTRAÇÃO GLOMERULAR",Masculino,Adulto,FALSE,10/08/2026
TGO (AST),U/L,referência:HOMENS : INFERIOR OU IGUAL A 40 U/L MULHERES: INFERIOR OU IGUAL A 33 U/L Atenção para alteração no valor de referência a partir de 11/06/25 100 80 60 40 19 20 20 0 25/10/25 10/08/26 08:02:51 07:52:33,referência:HOMENS : INFERIOR OU IGUAL A 40 U/L MULHERES: INFERIOR OU IGUAL A 33 U/L,Masculino,Ambos,FALSE,10/08/2026
TGP (ALT),U/L,HOMENS : INFERIOR OU IGUAL A 45 U/L Referencia : MULHERES: INFERIOR OU IGUAL A 34 U/L Atenção para alteração no valor de referência a partir de 11/06/25 80 60 40 21 21 20 0 25/10/25 10/08/26 08:02:51 07:52:33,HOMENS : INFERIOR OU IGUAL A 45 U/L Referencia : MULHERES: INFERIOR OU IGUAL A 34 U/L,Masculino,Ambos,FALSE,10/08/2026
Gama Gt,U/L,HOMENS : INFERIOR A 73 U/L Referencia : MULHERES: INFERIOR A 38 U/L 100 80 60 40 17 17 20 0 25/10/25 10/08/26 08:02:51 07:52:33,HOMENS : INFERIOR A 73 U/L Referencia : MULHERES: INFERIOR A 38 U/L 100 80 60 40 17 17 20 0 25/10/25 10/08/26 08:02:51 07:52:33,Masculino,Ambos,FALSE,10/08/2026
Fosfatase Alcalina,U/L,SEXO MASCULINO: Referencia : DE 0 A 14 DIAS : DE 90 A 273 U/L DE 15 DIAS A 11 MESES : DE 134 A 518 U/L DE 1 A 2 ANOS : DE 156 A 369 U/L DE 3 A 5 ANOS : DE 144 A 327 U/L DE 6 A 10 ANOS : DE 153 A 367 U/L DE 11 A 15 ANOS : DE 113 A 438 U/L DE 16 A 21 ANOS : DE 56 A 167 U/L DE 22 A 79 ANOS : DE 50 A 116 U/L SEXO FEMININO: DE 0 A 14 DIAS : DE 90 A 273 U/L DE 15 DIAS A 11 MESES : DE 134 A 518 U/L DE 1 A 2 ANOS : DE 156 A 369 U/L DE 3 A 5 ANOS : DE 144 A 327 U/L,SEXO; MASCULINO: Referencia :; 14 DIAS :; 273 U/L DE 15 DIAS A 11 MESES :; 518 U/L; 2 ANOS :; 369 U/L; 5 ANOS :; 327 U/L; 10 ANOS :; 367 U/L; 15 ANOS :; 438 U/L; 21 ANOS :; 167 U/L; 79 ANOS :; 116 U/L SEXO; 14 DIAS :; 273 U/L DE 15 DIAS A 11 MESES :; 518 U/L; 2 ANOS :; 369 U/L; 5 ANOS :; 327 U/L,Masculino,Ambos,FALSE,10/08/2026
Creatinina Sérica,mg/dL,"HOMEM : DE 0,60 A 1,30 mg/dL MULHER : DE 0,50 A 1,10 mg/dL CRIANÇAS: IDADE SEXO MASCULINO SEXO FEMININO DE 0 A 14 DIAS DE 0,42 A 1,05 mg/dL DE 0,42 A 1,05 mg/dL DE 15 DIAS A 11 MESES DE 0,31 A 0,53 mg/dL DE 0,31 A 0,53 mg/dL DE 1 A 3 ANOS DE 0,39 A 0,55 mg/dL DE 0,39 A 0,55 mg/dL DE 4 A 6 ANOS DE 0,44 A 0,65 mg/dL DE 0,44 A 0,65 mg/dL DE 7 A 11 ANOS DE 0,52 A 0,69 mg/dL DE 0,52 A 0,69 mg/dL DE 12 A 14 ANOS DE 0,57 A 0,80 mg/dL DE 0,57 A 0,80 mg/dL DE 15 A 16 ANOS DE 0,65 A 1,04 mg/dL DE 0,59 A 0,86 mg/dL DE 17 A 18 ANOS DE 0,69 A 1,10 mg/dL DE 0,60 A 0,88 mg/dL RITMO DE FILTRAÇÃO GLOMERULAR Método : CÁLCULO PELA FÓRMULA CKD-EPI (2021)","FEMININO; 14 DIAS DE 0,42 A 1,05 mg/dL DE 0,42 A 1,05 mg/dL DE 15 DIAS A 11 MESES DE 0,31 A 0,53 mg/dL DE 0,31 A 0,53 mg/dL; 3 ANOS DE 0,39 A 0,55 mg/dL DE 0,39 A 0,55 mg/dL; 6 ANOS DE 0,44 A 0,65 mg/dL DE 0,44 A 0,65 mg/dL; 11 ANOS DE 0,52 A 0,69 mg/dL DE 0,52 A 0,69 mg/dL; 14 ANOS DE 0,57 A 0,80 mg/dL DE 0,57 A 0,80 mg/dL; 16 ANOS DE 0,65 A 1,04 mg/dL DE 0,59 A 0,86 mg/dL; 18 ANOS DE 0,69 A 1,10 mg/dL DE 0,60 A 0,88 mg/dL RITMO DE FILTRAÇÃO GLOMERULAR",Feminino,Adulto,FALSE,10/08/2026
TGO (AST),U/L,referência:HOMENS : INFERIOR OU IGUAL A 40 U/L MULHERES: INFERIOR OU IGUAL A 33 U/L Atenção para alteração no valor de referência a partir de 11/06/25 100 80 60 40 32 29 30 20 0 25/10/25 19/02/26 10/08/26 08:01:23 07:37:38 07:52:26,referência:HOMENS : INFERIOR OU IGUAL A 40 U/L MULHERES: INFERIOR OU IGUAL A 33 U/L,Feminino,Ambos,FALSE,10/08/2026
TGP (ALT),U/L,HOMENS : INFERIOR OU IGUAL A 45 U/L Referencia : MULHERES: INFERIOR OU IGUAL A 34 U/L Atenção para alteração no valor de referência a partir de 11/06/25 80 60 40 22 17 26 20 0 25/10/25 19/02/26 10/08/26 08:01:23 07:37:38 07:52:26,HOMENS : INFERIOR OU IGUAL A 45 U/L Referencia : MULHERES: INFERIOR OU IGUAL A 34 U/L,Feminino,Ambos,FALSE,10/08/2026
Gama Gt,U/L,HOMENS : INFERIOR A 73 U/L Referencia : MULHERES: INFERIOR A 38 U/L 100 80 60 40 16 18 18 20 0 25/10/25 19/02/26 10/08/26 08:01:23 07:37:38 07:52:26,HOMENS : INFERIOR A 73 U/L Referencia : MULHERES: INFERIOR A 38 U/L 100 80 60 40 16 18 18 20 0 25/10/25 19/02/26 10/08/26 08:01:23 07:37:38 07:52:26,Feminino,Ambos,FALSE,10/08/2026
